listed,Prev week,This week,Rolling,group
NYSE,6.02,15.0,6.79,Adjusted Price wt. Sentiment Score
NASDAQ,15.0,11.66,12.19,Adjusted Price wt. Sentiment Score
NYSE,5.43,15.0,6.36,Market Capitalization wt. Sentiment Score
NASDAQ,15.0,14.1,12.8,Market Capitalization wt. Sentiment Score
NASDAQ,9.5,13.82,10.12,Transaction Volume wt. Sentiment Score
NYSE,10.1,15.0,9.15,Transaction Volume wt. Sentiment Score
NYSE,6.34,15.0,7.44,Transaction Amount wt. Sentiment Score
NASDAQ,15.0,8.18,11.32,Transaction Amount wt. Sentiment Score
NASDAQ,6.1,8.39,7.66,Social Score wt. Sentiment Score
NYSE,10.1,15.0,9.15,Social Score wt. Sentiment Score
